date,year,type,avg_price,size,nb_sold
2015-12-27,2015,conventional,1.33,large,8696.87
2015-12-20,2015,conventional,1.35,extra_large,9505.56
2015-12-13,2015,conventional,0.93,small,8145.35
2015-12-06,2015,conventional,1.08,large,5811.16
2015-11-29,2015,conventional,1.28,extra_large,6183.95
2015-11-22,2015,conventional,1.26,small,6683.91
2015-11-15,2015,conventional,0.99,large,8318.86
2015-11-08,2015,conventional,0.98,extra_large,6829.22
2015-11-01,2015,conventional,1.02,small,11388.36
2015-10-25,2015,conventional,1.07,large,8625.92
2015-10-18,2015,conventional,1.12,extra_large,8205.66
2015-10-11,2015,conventional,1.28,small,10123.9
2015-10-04,2015,conventional,1.31,large,8756.75
2015-09-27,2015,conventional,0.99,extra_large,6034.46
2015-09-20,2015,conventional,1.33,small,9267.36
2015-09-13,2015,conventional,1.28,large,9286.68
2015-09-06,2015,conventional,1.11,extra_large,7990.1
2015-08-30,2015,conventional,1.07,small,10306.73
2015-08-23,2015,conventional,1.34,large,10880.36
2015-08-16,2015,conventional,1.33,extra_large,10443.22
2015-08-09,2015,conventional,1.12,small,9225.89
2015-08-02,2015,conventional,1.45,large,11847.02
2015-07-26,2015,conventional,1.11,extra_large,13192.69
2015-07-19,2015,conventional,1.26,small,11287.48
2015-07-12,2015,conventional,1.05,large,24431.9
2015-07-05,2015,conventional,1.35,extra_large,29898.96
2015-06-28,2015,conventional,1.37,small,26662.08
2015-06-21,2015,conventional,1.27,large,21875.65
2015-06-14,2015,conventional,1.32,extra_large,29002.59
2015-06-07,2015,conventional,1.07,small,22775.21
2015-05-31,2015,conventional,1.23,large,23681.01
2015-05-24,2015,conventional,1.19,extra_large,29355.13
2015-05-17,2015,conventional,1.43,small,26657.44
2015-05-10,2015,conventional,1.26,large,16821.3
2015-05-03,2015,conventional,1.2,extra_large,12570.51
2015-04-26,2015,conventional,1.22,small,12778.44
2015-04-19,2015,conventional,1.19,large,14301.92
2015-04-12,2015,conventional,1.13,extra_large,17104.37
2015-04-05,2015,conventional,1.16,small,10728.94
2015-03-29,2015,conventional,1.02,large,7684.08
2015-03-22,2015,conventional,1.12,extra_large,9749.66
2015-03-15,2015,conventional,1.11,small,10370.69
2015-03-08,2015,conventional,1.07,large,9181.99
2015-03-01,2015,conventional,0.99,extra_large,9151.45
2015-02-22,2015,conventional,1.07,small,9379.54
2015-02-15,2015,conventional,1.06,large,10313.03
2015-02-08,2015,conventional,0.99,extra_large,10621.54
2015-02-01,2015,conventional,0.99,small,9323.18
2015-01-25,2015,conventional,1.06,large,10845.82
2015-01-18,2015,conventional,1.17,extra_large,11921.05
2015-01-11,2015,conventional,1.24,small,8424.77
2015-01-04,2015,conventional,1.22,large,9716.46
2015-12-27,2015,conventional,0.99,extra_large,66354.31
2015-12-20,2015,conventional,1.08,small,58797.87
2015-12-13,2015,conventional,0.96,large,61545.31
2015-12-06,2015,conventional,1.07,extra_large,50690.04
2015-11-29,2015,conventional,0.99,small,53794.68
2015-11-22,2015,conventional,1,large,56382.08
2015-11-15,2015,conventional,1.13,extra_large,47046.48
2015-11-08,2015,conventional,1.12,small,48628.65
2015-11-01,2015,conventional,0.99,large,65398.38
