    store type  department       date  weekly_sales  is_holiday  temperature_c  fuel_price_usd_per_l  unemployment
0       1    A           1 2010-02-05      24924.50       False          5.728                 0.679         8.106
1       1    A           1 2010-03-05      21827.90       False          8.056                 0.693         8.106
2       1    A           1 2010-04-02      57258.43       False         16.817                 0.718         7.808
3       1    A           1 2010-05-07      17413.94       False         22.528                 0.749         7.808
4       1    A           1 2010-06-04      17558.09       False         27.050                 0.715         7.808
5       1    A           1 2010-07-02      16333.14       False         27.172                 0.705         7.787
6       1    A           1 2010-08-06      17508.41       False         30.644                 0.694         7.787
7       1    A           1 2010-09-03      16241.78       False         27.339                 0.681         7.787
8       1    A           1 2010-10-01      20094.19       False         22.161                 0.688         7.838
9       1    A           1 2010-11-05      34238.88       False         14.856                 0.710         7.838
10      1    A           1 2010-12-03      22517.56       False          9.594                 0.715         7.838
11      1    A           1 2011-01-07      15984.24       False          9.039                 0.786         7.742
12      1    A           2 2010-02-05      50605.27       False          5.728                 0.679         8.106
13      1    A           2 2010-03-05      48397.98       False          8.056                 0.693         8.106
14      1    A           2 2010-04-02      47450.50       False         16.817                 0.718         7.808
15      1    A           2 2010-05-07      47903.01       False         22.528                 0.749         7.808
16      1    A           2 2010-06-04      48754.47       False         27.050                 0.715         7.808
17      1    A           2 2010-07-02      47077.72       False         27.172                 0.705         7.787
18      1    A           2 2010-08-06      50031.73       False         30.644                 0.694         7.787
19      1    A           2 2010-09-03      49015.05       False         27.339                 0.681         7.787
100      1    A           9 2010-06-04      36317.39       False         27.050                 0.715         7.808
101      1    A           9 2010-07-02      21032.55       False         27.172                 0.705         7.787
102      1    A           9 2010-08-06      19224.82       False         30.644                 0.694         7.787
103      1    A           9 2010-09-03      39639.39       False         27.339                 0.681         7.787
104      1    A           9 2010-10-01      44977.91       False         22.161                 0.688         7.838
105      1    A           9 2010-11-05      48794.36       False         14.856                 0.710         7.838
106      1    A           9 2010-12-03      21979.41       False          9.594                 0.715         7.838
107      1    A           9 2011-01-07      16131.88       False          9.039                 0.786         7.742
108      1    A          10 2010-02-05      30721.50       False          5.728                 0.679         8.106
109      1    A          10 2010-03-05      33299.27       False          8.056                 0.693         8.106
110      1    A          10 2010-04-02      31794.04       False         16.817                 0.718         7.808
111      1    A          10 2010-05-07      32902.69       False         22.528                 0.749         7.808
112      1    A          10 2010-06-04      34227.73       False         27.050                 0.715         7.808
113      1    A          10 2010-07-02      29779.96       False         27.172                 0.705         7.787
114      1    A          10 2010-08-06      35078.09       False         30.644                 0.694         7.787
115      1    A          10 2010-09-03      33457.07       False         27.339                 0.681         7.787
116      1    A          10 2010-10-01      29764.24       False         22.161                 0.688         7.838
117      1    A          10 2010-11-05      31543.83       False         14.856                 0.710         7.838
118      1    A          10 2010-12-03      26558.42       False          9.594                 0.715         7.838
119      1    A          10 2011-01-07      24500.27       False          9.039                 0.786         7.742
120      1    A          11 2010-02-05      24213.18       False          5.728                 0.679         8.106
111     39    A          99 2011-12-09        895.00       False          9.644                 0.834         7.716
10769     39    A          99 2011-12-09        895.00       False          9.644                 0.834         7.716
10770     39    A          99 2012-02-03        350.00       False         15.939                 0.888         7.244
10771     39    A          99 2012-06-08        450.00       False         27.289                 0.912         6.989
10772     39    A          99 2012-07-13          0.06       False         25.644                 0.860         6.623
10773     39    A          99 2012-10-05        915.00       False         22.250                 0.956         6.228
1000      2    A           9 2010-05-07      34875.47       False         21.822                 0.749         8.200
1001      2    A           9 2010-06-04      48752.71       False         27.672                 0.715         8.200
1002      2    A           9 2010-07-02      36611.78       False         28.189                 0.705         8.099
1003      2    A           9 2010-08-06      29052.46       False         31.961                 0.694         8.099
1004      2    A           9 2010-09-03      61719.22       False         27.683                 0.681         8.099
1005      2    A           9 2010-10-01      36075.43       False         20.689                 0.688         8.163
1006      2    A           9 2010-11-05      42709.43       False         14.361                 0.710         8.163
1007      2    A           9 2010-12-03      36011.23       False          9.628                 0.715         8.163
1008      2    A           9 2011-01-07      18276.17       False          7.050                 0.786         8.028
1009      2    A          10 2010-02-05      39602.47       False          4.550                 0.679         8.324
1010      2    A          10 2010-03-05      39883.50       False          8.428                 0.693         8.324
1011      2    A          10 2010-04-02      43902.87       False         17.372                 0.718         8.200
1012      2    A          10 2010-05-07      38111.65       False         21.822                 0.749         8.200
1013      2    A          10 2010-06-04      41412.93       False         27.672                 0.715         8.200
1014      2    A          10 2010-07-02      46035.10       False         28.189                 0.705         8.099
1015      2    A          10 2010-08-06      42421.79       False         31.961                 0.694         8.099
